Arsenal,in,31 January 2018,player,Pierre-Emerick Aubameyang,Borussia Dortmund,Undisclosed
Arsenal,in,31 January 2018,player,Konstantinos Mavropanos,PAS Giannina,Undisclosed
Arsenal,in,31 January 2018,player,Henrikh Mkhitaryan,Man Utd,Swap
Arsenal,out,31 January 2018,player,Jeff-Reine Adelaide,Angers,Loan
Arsenal,out,31 January 2018,player,Chuba Akpom,Sint-Truidense,Loan
Arsenal,out,31 January 2018,player,Krystian Bielik,Walsall,Loan
Arsenal,out,31 January 2018,player,Francis Coquelin,Valencia,Undisclosed
Arsenal,out,31 January 2018,player,Mathieu Debuchy,Saint-Etienne,Undisclosed
Arsenal,out,31 January 2018,player,Olivier Giroud,Chelsea,Undisclosed
Arsenal,out,31 January 2018,player,Stephy Mavididi,Charlton Athletic,Loan
Arsenal,out,31 January 2018,player,Marcus McGuane,Barcelona,Undisclosed
Arsenal,out,31 January 2018,player,Tafari Moore,Wycombe Wanderers,Loan
Arsenal,out,31 January 2018,player,Julio Pleguezuelo,Gimnastic de Tarragona,Loan
Arsenal,out,31 January 2018,player,Alexis Sanchez,Man Utd,Swap
Arsenal,out,31 January 2018,player,Ben Sheaf,Stevenage,Loan
Arsenal,out,31 January 2018,player,Theo Walcott,Everton,Undisclosed
AFC Bournemouth,in,31 January 2018,player,Lewis Grabban,Sunderland,Loan return
AFC Bournemouth,out,31 January 2018,player,Benik Afobe,Wolverhampton Wanderers,Loan
AFC Bournemouth,out,31 January 2018,player,Ryan Allsop,Lincoln City,Loan
AFC Bournemouth,out,31 January 2018,player,Baily Cargill,Partick Thistle,Loan
AFC Bournemouth,out,31 January 2018,player,Mihai Dobre,Rochdale,Loan
AFC Bournemouth,out,31 January 2018,player,Lewis Grabban,Aston Villa,Loan
AFC Bournemouth,out,31 January 2018,player,Shaun Hobson,Chester,Loan
AFC Bournemouth,out,31 January 2018,player,Connor Mahoney,Barnsley,Loan
AFC Bournemouth,out,31 January 2018,player,Sam Matthews,Eastleigh,Loan extension
AFC Bournemouth,out,31 January 2018,player,Ollie Harfield,Boreham Wood,Loan
AFC Bournemouth,out,31 January 2018,player,Aaron Ramsdale,Chesterfield,Loan
AFC Bournemouth,out,31 January 2018,player,Ben Whitfield,Port Vale,Loan extension
Brighton and Hove Albion,in,31 January 2018,player,Warren O'Hora,Bohemians,Undisclosed
Brighton and Hove Albion,in,31 January 2018,player,Jurgen Locadia,PSV Eindhoven,Undisclosed
Brighton and Hove Albion,in,31 January 2018,player,Bojan Radulovic Samoukovic,Lleida,Undisclosed
Brighton and Hove Albion,in,31 January 2018,player,Leonardo Ulloa,Leicester,Loan
Brighton and Hove Albion,out,31 January 2018,player,Soufyan Ahannach,Sparta Rotterdam,Loan
Brighton and Hove Albion,out,31 January 2018,player,David Ajiboye,Millwall,Loan
Brighton and Hove Albion,out,31 January 2018,player,Jonah Ayunga,Poole Town,Loan
Brighton and Hove Albion,out,31 January 2018,player,Charlie Ferguson,East Grinstead Town,Loan
Brighton and Hove Albion,out,31 January 2018,player,Ben Hall,Notts County,Loan
Brighton and Hove Albion,out,31 January 2018,player,Kazenga LuaLua,Sunderland,Free
Brighton and Hove Albion,out,31 January 2018,player,Stefan Ljubicic,Bognor Regis Town,Loan
Brighton and Hove Albion,out,31 January 2018,player,Jordan Maguire-Drew,Coventry City,Loan
Brighton and Hove Albion,out,31 January 2018,player,Reece Meekums,Worthing,Loan extension
Brighton and Hove Albion,out,31 January 2018,player,Jamie Murphy,Rangers,Loan
Brighton and Hove Albion,out,31 January 2018,player,Mathias Normann,Molde,Loan extension
Brighton and Hove Albion,out,31 January 2018,player,Rian O’Sullivan,Carshalton Athletic,Loan
Brighton and Hove Albion,out,31 January 2018,player,Bailey Vose,Welling United,Loan
Burnley,in,31 January 2018,player,Aaron Lennon,Everton,Undisclosed
Burnley,in,31 January 2018,player,Georges-Kevin Nkoudou,Spurs,Loan
Burnley,out,31 January 2018,player,Dan Agyei,Blackpool,Loan
Burnley,out,31 January 2018,player,Tom Anderson,Doncaster Rovers,Loan
Burnley,out,31 January 2018,player,Jimmy Dunne,Accrington Stanley,Loan
Burnley,out,31 January 2018,player,Harry Flowers,Guiseley,Undisclosed
Burnley,out,31 January 2018,player,Josh Ginnelly,Tranmere Rovers,Loan
Burnley,out,31 January 2018,player,Luke Hendrie,Shrewsbury Town,Undisclosed
Burnley,out,31 January 2018,player,Alex Whitmore,Chesterfield,Undisclosed
Chelsea,in,31 January 2018,player,Ross Barkley,Everton,Undisclosed
Chelsea,in,31 January 2018,player,Olivier Giroud,Arsenal,Undisclosed
Chelsea,in,31 January 2018,player,Emerson Palmieri,Roma,Undisclosed
Chelsea,out,31 January 2018,player,Michy Batshuayi,Borussia Dortmund,Loan
Chelsea,out,31 January 2018,player,Jake Clarke-Salter,Sunderland,Loan
Chelsea,out,31 January 2018,player,Jordan Houghton,Doncaster Rovers,Loan extension
Chelsea,out,31 January 2018,player,Todd Kane,Oxford United,Loan
Chelsea,out,31 January 2018,player,Kenedy,Newcastle,Loan
Chelsea,out,31 January 2018,player,Charly Musonda Jr,Celtic,Loan
Chelsea,out,31 January 2018,player,Baba Rahman,Schalke,Loan
Chelsea,out,31 January 2018,player,Ike Ugbo,MK Dons,Loan
Crystal Palace,in,31 January 2018,player,Jaroslaw Jach,Zaglebie Lubin,Undisclosed
Crystal Palace,in,31 January 2018,player,Erdal Rakip,Benfica,Loan
Crystal Palace,in,31 January 2018,player,Alexander Sorloth,FC Midtjylland,Undisclosed
Crystal Palace,in,31 January 2018,player,Diego Cavalieri,Unattached,Free
Crystal Palace,out,31 January 2018,player,Keshi Anderson,Swindon Town,Undisclosed
Crystal Palace,out,31 January 2018,player,Andre Coker,Maidstone United,Loan
Crystal Palace,out,31 January 2018,player,Noor Husin,Notts County,Undisclosed
Crystal Palace,out,31 January 2018,player,Sullay Kaikai,Charlton,Loan
Crystal Palace,out,31 January 2018,player,Freddie Ladapo,Southend United,Undisclosed
Everton,in,31 January 2018,player,Cenk Tosun,Besiktas,Undisclosed
Everton,in,31 January 2018,player,Eliaquim Mangala,Man City,Loan
Everton,in,31 January 2018,player,Theo Walcott,Arsenal,Undisclosed
Everton,out,31 January 2018,player,Ross Barkley,Chelsea,Undisclosed
Everton,out,31 January 2018,player,Mo Besic,Middlesbrough,Loan
Everton,out,31 January 2018,player,Harry Charsley,Bolton Wanderers,Loan
Everton,out,31 January 2018,player,Louis Gray,Carlisle United,Loan
Everton,out,31 January 2018,player,Gethin Jones,Fleetwood Town,Undisclosed
Everton,out,31 January 2018,player,Aaron Lennon,Burnley,Undisclosed
Everton,out,31 January 2018,player,Ademola Lookman,RB Leipzig,Loan
Everton,out,31 January 2018,player,Boris Mathis,Northampton Town,Loan
Everton,out,31 January 2018,player,Kevin Mirallas,Olympiacos,Loan
Everton,out,31 January 2018,player,Sandro Ramirez,Sevilla,Loan
Everton,out,31 January 2018,player,Antonee Robinson,Bolton Wanderers,Loan extension
Everton,out,31 January 2018,player,Liam Walsh,Bristol City,Undisclosed
Huddersfield Town,in,31 January 2018,player,Terence Kongolo,Monaco,Loan
Huddersfield Town,in,31 January 2018,player,Jack Payne,Oxford Utd,Loan recall
Huddersfield Town,in,31 January 2018,player,Alex Pritchard,Norwich City,Undisclosed
Huddersfield Town,out,31 January 2018,player,Jack Boyle,Clyde,Loan
Huddersfield Town,out,31 January 2018,player,Dylan Cogill,Clyde,Loan
Huddersfield Town,out,31 January 2018,player,Martin Cranie,Middlesbrough,Undisclosed
Huddersfield Town,out,31 January 2018,player,Fraser Horsfall,Kidderminster Harriers,Undisclosed
Huddersfield Town,out,31 January 2018,player,Danny Kane,Cork City,Undisclosed
Huddersfield Town,out,31 January 2018,player,Joe Lolley,Nottingham Forest,Undisclosed
Huddersfield Town,out,31 January 2018,player,Jack Payne,Blackburn Rovers,Loan
Huddersfield Town,out,31 January 2018,player,Ryan Schofield,AFC Telford,Loan
Huddersfield Town,out,31 January 2018,player,Tadhg Ryan,,Released
Huddersfield Town,out,31 January 2018,player,Cedwyn Scott,Dundee,Undisclosed
